ward,precinct,total,YES,YES Percent,NO,NO Percent,precinct_id
11,3,171,142,83.04,29,16.96,11003
11,4,180,147,81.67,33,18.33,11004
11,5,144,119,82.64,25,17.36,11005
11,6,237,188,79.32,49,20.68,11006
11,7,174,159,91.38,15,8.62,11007
11,8,163,133,81.6,30,18.4,11008
11,9,135,114,84.44,21,15.56,11009
11,10,114,96,84.21,18,15.79,11010
11,11,179,143,79.89,36,20.11,11011
11,12,144,132,91.67,12,8.33,11012
11,13,154,133,86.36,21,13.64,11013
11,14,83,65,78.31,18,21.69,11014
11,15,113,106,93.81,7,6.19,11015
11,16,161,127,78.88,34,21.12,11016
11,17,267,216,80.9,51,19.1,11017
11,18,107,87,81.31,20,18.69,11018
11,19,176,155,88.07,21,11.93,11019
11,20,181,168,92.82,13,7.18,11020
11,21,250,225,90.0,25,10.0,11021
11,22,132,107,81.06,25,18.94,11022
11,23,137,109,79.56,28,20.44,11023
11,24,221,208,94.12,13,5.88,11024
11,25,107,97,90.65,10,9.35,11025
11,26,200,164,82.0,36,18.0,11026
11,27,58,43,74.14,15,25.86,11027
11,28,20,14,70.0,6,30.0,11028
11,29,165,127,76.97,38,23.03,11029
11,30,170,142,83.53,28,16.47,11030
11,31,41,39,95.12,2,4.88,11031
11,32,106,99,93.4,7,6.6,11032
11,33,137,105,76.64,32,23.36,11033
11,34,51,42,82.35,9,17.65,11034
11,35,130,120,92.31,10,7.69,11035
11,36,103,84,81.55,19,18.45,11036
11,37,246,205,83.33,41,16.67,11037
11,38,198,171,86.36,27,13.64,11038
11,39,167,139,83.23,28,16.77,11039
11,40,164,140,85.37,24,14.63,11040
11,41,129,106,82.17,23,17.83,11041
11,42,97,74,76.29,23,23.71,11042
11,43,157,132,84.08,25,15.92,11043
11,44,172,133,77.33,39,22.67,11044
11,45,107,88,82.24,19,17.76,11045
11,46,40,34,85.0,6,15.0,11046
11,47,108,89,82.41,19,17.59,11047
11,48,79,70,88.61,9,11.39,11048
11,49,95,80,84.21,15,15.79,11049
11,50,68,57,83.82,11,16.18,11050
11,51,148,123,83.11,25,16.89,11051
11,52,148,128,86.49,20,13.51,11052
11,53,131,114,87.02,17,12.98,11053
11,54,62,56,90.32,6,9.68,11054
12,1,100,80,80.0,20,20.0,12001
12,2,72,53,73.61,19,26.39,12002
12,3,85,65,76.47,20,23.53,12003
12,4,105,84,80.0,21,20.0,12004
12,5,55,39,70.91,16,29.09,12005
12,6,102,75,73.53,27,26.47,12006
12,7,87,65,74.71,22,25.29,12007
12,8,100,83,83.0,17,17.0,12008
12,9,81,60,74.07,21,25.93,12009
12,10,91,79,86.81,12,13.19,12010
12,11,86,72,83.72,14,16.28,12011
12,12,82,62,75.61,20,24.39,12012
12,13,77,59,76.62,18,23.38,12013
12,14,118,84,71.19,34,28.81,12014
12,15,107,84,78.5,23,21.5,12015
12,16,109,74,67.89,35,32.11,12016
12,17,49,38,77.55,11,22.45,12017
12,18,61,43,70.49,18,29.51,12018
12,19,92,71,77.17,21,22.83,12019
12,20,96,74,77.08,22,22.92,12020
12,21,136,102,75.0,34,25.0,12021
12,22,89,58,65.17,31,34.83,12022
12,23,72,57,79.17,15,20.83,12023
12,24,58,50,86.21,8,13.79,12024
12,25,107,84,78.5,23,21.5,12025
12,26,81,61,75.31,20,24.69,12026
12,27,72,56,77.78,16,22.22,12027
12,28,84,60,71.43,24,28.57,12028
12,29,187,143,76.47,44,23.53,12029
12,30,102,82,80.39,20,19.61,12030
13,1,137,110,80.29,27,19.71,13001
13,2,131,105,80.15,26,19.85,13002
13,3,195,161,82.56,34,17.44,13003
13,4,240,204,85.0,36,15.0,13004
13,5,162,144,88.89,18,11.11,13005
13,6,162,137,84.57,25,15.43,13006
13,7,203,175,86.21,28,13.79,13007
13,8,199,152,76.38,47,23.62,13008
13,9,200,171,85.5,29,14.5,13009
13,10,179,137,76.54,42,23.46,13010
13,11,165,136,82.42,29,17.58,13011
13,12,225,203,90.22,22,9.78,13012
13,13,208,178,85.58,30,14.42,13013
13,14,135,115,85.19,20,14.81,13014
13,15,247,223,90.28,24,9.72,13015
13,16,173,151,87.28,22,12.72,13016
13,17,118,97,82.2,21,17.8,13017
13,18,167,140,83.83,27,16.17,13018
13,19,155,136,87.74,19,12.26,13019
13,20,179,145,81.01,34,18.99,13020
13,21,162,132,81.48,30,18.52,13021
13,22,173,144,83.24,29,16.76,13022
13,23,185,156,84.32,29,15.68,13023
13,24,225,187,83.11,38,16.89,13024
13,25,169,137,81.07,32,18.93,13025
13,26,164,137,83.54,27,16.46,13026
13,27,198,152,76.77,46,23.23,13027
13,28,163,145,88.96,18,11.04,13028
13,29,204,169,82.84,35,17.16,13029
13,30,181,156,86.19,25,13.81,13030
13,31,179,148,82.68,31,17.32,13031
13,32,155,133,85.81,22,14.19,13032
13,33,185,151,81.62,34,18.38,13033
13,34,184,151,82.07,33,17.93,13034
13,35,217,185,85.25,32,14.75,13035
13,36,158,130,82.28,28,17.72,13036
13,37,142,118,83.1,24,16.9,13037
13,38,100,73,73.0,27,27.0,13038
13,39,185,154,83.24,31,16.76,13039
13,40,152,116,76.32,36,23.68,13040
13,41,175,144,82.29,31,17.71,13041
